Ano,Norte,RO,AC,AM,RR,PA,AP,TO,Nordeste,MA,PI,CE,RN,PB,PE,AL,SE,BA,Sudeste,MG,ES,RJ,SP,Sul,PR,SC,RS,Centro-Oeste,MS,MT,GO,DF,Total_Brasil
1990,5396,165,537,1878,27,1205,80,1504,13776,258,1282,2771,1378,1735,194,1679,773,1384,22202,81,8664,4577,861,6599,1846,852,3901,13498,121,776,8229,4372,61471
1991,4665,211,89,800,94,1672,1366,433,11364,281,156,4704,617,764,290,525,495,3532,10893,5354,1422,3777,340,1114,3144,1477,6519,447,1142,2765,292,271,42532
1992,480,48,40,217,27,109,22,17,2758,26,54,393,205,369,165,131,112,1303,2635,1828,228,463,116,1058,273,28,757,766,442,177,83,64,7697
1993,239,71,0,104,20,20,17,7,366,13,4,134,42,32,15,22,48,56,1002,325,31,307,339,558,101,8,449,231,64,14,77,76,2396
1994,265,35,4,146,23,42,11,4,303,11,8,87,26,8,13,3,51,96,354,97,32,136,89,227,9,25,193,113,68,14,21,10,1262
1995,141,23,8,43,12,22,9,24,195,2,7,37,13,33,10,24,33,36,346,60,33,126,127,253,33,30,190,37,17,6,11,3,972
1996,101,7,4,28,4,25,10,23,664,9,8,125,25,59,23,19,34,362,2083,74,6,438,1565,270,73,39,158,208,11,21,101,75,3326
1997,231,17,12,60,10,52,22,58,4547,48,161,864,112,342,335,30,98,2557,45503,794,35,2616,42058,177,546,491,733,1613,155,54,526,878,53664
1998,245,22,9,110,22,21,0,61,607,0,19,29,7,49,345,7,51,100,618,43,2,305,268,1046,909,61,76,265,46,19,69,131,2781
1999,91,1,14,54,0,17,0,5,369,0,6,8,3,35,240,43,20,14,359,9,4,177,169,39,1,25,13,50,21,7,11,11,908
2000,17,0,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,1,14,3,2,1,0,1,1,0,0,0,36
2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,2
2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,4,0,4,0,0,0,0,0,0,6
2006,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57
2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,3,0,0,0,0,3,0,0,57,0,0,0,0,57,0,0,0,0,0,0,0,0,0,8,0,0,8,0,0,0,0,0,68
2011,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,32,1,0,4,27,7,0,0,7,2,1,0,0,1,43
2012,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2
2013,0,0,0,0,0,0,0,0,210,0,0,1,0,9,200,0,0,0,8,2,1,0,5,1,0,1,0,1,0,0,0,1,220
2014,0,0,0,0,0,0,0,0,866,0,0,840,0,0,26,0,0,0,10,0,0,3,7,0,0,0,0,0,0,0,0,0,876
2015,1,0,0,0,1,0,0,0,211,0,0,211,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,214
2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,9237,2,0,8791,361,83,0,0,11,0,0,0,0,0,4,0,4,3,29,0,0,20,9,47,0,0,47,1,0,0,0,1,9325
2019,410,0,0,4,1,405,0,0,572,10,3,19,9,66,344,35,6,80,18426,143,4,463,17816,1468,1071,297,100,25,2,0,12,11,20901
2020,5216,6,0,7,0,4906,296,1,80,17,0,7,0,0,38,3,8,7,2259,22,0,1358,879,521,377,107,37,24,10,1,5,8,81
2021,650,0,0,0,0,116,534,0,14,0,0,3,0,0,0,11,0,0,12,0,0,3,9,0,0,0,0,0,0,0,0,0,676
2022,31,0,0,0,0,1,30,0,0,0,0,0,0,0,0,0,0,0,10,0,0,2,8,0,0,0,0,0,0,0,0,0,41
